Transaction Date,Sales Quantity,Price,Discounts,Inventory Level,Economic Indicator,Holiday,Competitor Price,Market Trend,Product SKU_Levis,Product SKU_Wrangler,Store ID_Store1,Store ID_Store2,Product Category_Shirts,Product Category_Jeans,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny
1/2/1997,76,357.27,5,444,1.15,1,46.69,1.16,0,1,0,1,0,1,0,1,0
1/3/1997,70,258.55,0,54,1.45,1,320.38,1.07,0,0,0,0,1,0,1,0,0
1/4/1997,77,403.97,15,150,0.88,0,288.34,1,0,0,1,0,0,0,0,0,1
1/5/1997,83,359.15,0,478,1.13,0,236.36,0.87,0,0,0,0,1,0,1,0,0
1/6/1997,81,190.27,5,149,1.39,1,49.74,1.07,0,0,1,0,0,0,0,0,0
1/7/1997,82,174.97,10,222,0.9,0,55.67,1.15,0,0,0,0,1,0,0,0,0
1/8/1997,85,133.7,10,481,0.98,1,277.1,0.86,0,0,0,1,0,0,0,1,0
1/9/1997,80,292.49,20,157,1.42,0,27.92,0.8,0,0,0,0,1,0,0,0,1
1/10/1997,77,482.28,10,319,1.05,0,365.15,1.1,0,1,0,1,1,0,0,0,0
1/11/1997,74,108.03,5,422,1.3,0,496.95,1.04,0,0,1,0,0,0,1,0,0
1/12/1997,75,56.67,10,77,1.44,0,302.73,1,0,1,0,1,0,0,1,0,0
1/13/1997,78,68.51,15,294,1.07,0,364.48,0.98,0,1,0,0,0,1,0,1,0
1/14/1997,80,393.72,0,314,0.61,1,225.08,1,1,0,0,0,0,1,0,1,0
1/15/1997,81,181.55,0,364,1.32,0,337.03,0.95,0,0,1,0,1,0,0,0,1
1/16/1997,78,119.94,5,87,1.32,1,329.37,0.83,0,0,0,1,1,0,0,1,0
1/17/1997,71,182.89,20,142,0.61,1,413.8,1.11,1,0,1,0,0,1,1,0,0
1/18/1997,60,326.21,0,202,1.05,1,358.56,0.99,0,1,0,1,0,1,0,1,0
1/19/1997,63,277.93,10,377,0.99,0,377.03,1.13,0,0,0,1,0,0,1,0,0
1/20/1997,53,374.36,15,97,1.35,0,282.75,1.19,0,1,1,0,0,1,0,0,0
1/21/1997,64,176.15,20,452,0.77,0,247.41,0.87,1,0,1,0,1,0,0,1,0
1/22/1997,75,231.49,20,179,0.93,0,234.77,1.12,0,0,0,1,0,1,0,0,1
1/23/1997,80,59.96,20,55,1.1,1,202.09,1.19,0,1,1,0,0,1,0,0,1
1/24/1997,77,45.8,0,463,1.02,0,140.35,1.09,0,0,0,1,0,1,0,0,1
1/25/1997,83,236.51,20,110,1.46,0,26.32,0.9,0,0,1,0,0,1,0,1,0
1/26/1997,82,157.78,5,307,1.46,1,338.84,1.16,0,1,1,0,1,0,0,0,0
1/27/1997,78,310.27,10,484,0.58,0,451.47,1.12,0,1,1,0,0,1,0,0,0
1/28/1997,79,31.07,15,388,0.8,1,465.94,0.98,0,0,0,0,0,1,0,0,1
1/29/1997,82,69.67,10,318,0.51,1,294.48,1.03,0,0,1,0,1,0,0,0,0
1/30/1997,76,433.94,5,354,0.92,1,56.13,1.09,0,0,0,0,0,1,1,0,0
1/31/1997,80,287.49,5,294,1.16,1,440.55,0.85,0,0,0,1,1,0,0,1,0
2/1/1997,81,358.91,10,57,0.97,1,376.39,1.17,0,0,0,1,0,1,0,0,0
2/2/1997,77,422.57,0,314,0.57,0,133.19,1.19,0,1,1,0,0,1,0,0,0
2/3/1997,78,237.28,5,200,0.7,0,403.74,0.93,0,1,0,0,0,1,0,0,0
2/4/1997,82,382.92,20,249,0.67,0,241.28,1.09,1,0,0,1,0,0,0,0,1
2/5/1997,82,267.05,15,378,1.01,1,444.92,0.97,0,0,0,0,0,1,0,1,0
2/6/1997,83,119.15,15,449,1.18,0,131.33,0.81,0,1,0,0,1,0,0,0,0
2/7/1997,84,175.45,5,449,0.82,0,402.44,1.18,0,0,0,1,0,0,0,1,0
2/8/1997,85,250.27,20,317,0.63,1,358.84,0.86,0,0,0,0,0,1,0,0,0
2/9/1997,85,165.27,10,266,1.3,0,17.08,0.83,0,0,0,0,1,0,1,0,0
2/10/1997,85,174.41,15,426,1.36,0,286.03,1.13,0,0,0,1,0,1,0,1,0
2/11/1997,84,175.32,20,444,0.78,0,360.61,0.81,1,0,1,0,1,0,0,1,0
2/12/1997,83,70.19,20,387,0.92,0,86.64,1.08,0,1,1,0,0,1,0,1,0
2/13/1997,79,51.47,0,446,0.58,1,270.63,1.17,0,1,0,0,1,0,1,0,0
2/14/1997,80,32.78,5,468,0.73,1,159,0.96,0,1,1,0,1,0,0,0,1
2/15/1997,78,64.37,20,259,1.27,1,351.16,0.83,0,0,0,1,0,0,0,0,0
2/16/1997,77,178.42,10,412,0.87,1,274.67,0.89,0,0,0,1,0,0,0,0,1
2/17/1997,78,301,15,220,1.1,0,314.51,1.18,1,0,0,1,1,0,0,1,0
2/18/1997,77,102.19,0,150,1.45,0,45.54,0.99,0,0,0,0,1,0,0,0,1
2/19/1997,73,445.12,10,463,1.22,1,77.52,1.02,0,1,0,1,0,0,0,1,0
2/20/1997,73,406.11,15,109,0.95,1,280.52,0.86,1,0,0,0,1,0,0,0,0
2/21/1997,78,265.06,5,372,0.87,1,98.77,1.17,0,1,0,0,0,1,0,0,1
2/22/1997,81,364.86,10,78,0.69,1,254.36,1.01,0,1,0,1,0,1,0,0,0
2/23/1997,80,189.5,15,202,1.26,1,348.11,1.01,0,0,0,1,1,0,0,0,0
2/24/1997,83,28.02,0,115,0.61,0,406.79,1.03,0,1,0,0,1,0,0,0,1
2/25/1997,79,453.12,15,288,0.56,0,80.07,1.11,1,0,0,1,0,0,1,0,0
2/26/1997,71,72.62,20,54,0.6,1,373.52,0.88,0,1,1,0,0,0,1,0,0
2/27/1997,73,474.49,0,173,0.74,1,187.96,1.18,0,0,0,0,1,0,1,0,0
2/28/1997,78,290.22,10,144,1.13,0,342.68,0.87,0,1,0,0,0,1,0,0,1
3/1/1997,71,159.73,5,54,1.36,1,81.19,0.88,0,0,0,1,0,0,0,0,1
3/2/1997,78,252.81,0,134,1.49,0,262.44,0.8,1,0,0,1,0,1,0,0,1
3/3/1997,78,255.8,0,289,1.23,1,420.41,0.81,0,0,0,0,0,1,0,0,1
3/4/1997,74,21.41,0,98,0.65,0,62.15,0.97,0,0,0,0,0,1,1,0,0
3/5/1997,71,184.18,15,75,0.78,0,415.56,0.87,0,1,0,0,0,1,1,0,0
3/6/1997,73,372.53,20,376,0.63,0,231.86,0.88,0,0,0,1,0,0,0,0,1
3/7/1997,63,259.93,5,463,0.62,1,413.4,1.2,0,0,0,0,1,0,0,0,0
3/8/1997,68,129.67,5,147,1.07,1,479.61,1.17,0,0,1,0,1,0,0,0,0
3/9/1997,67,174.2,20,461,1.41,0,88.23,0.93,0,0,1,0,0,0,0,0,0
3/10/1997,63,432.9,15,431,1.18,0,340.54,0.94,0,0,0,1,0,1,0,0,1
3/11/1997,69,267.52,15,319,1.3,0,125.2,0.92,0,0,0,0,1,0,1,0,0
3/12/1997,76,268.89,20,323,1.01,1,76.42,1.15,0,1,0,0,1,0,0,0,1
3/13/1997,73,481.12,20,362,0.98,0,317.76,0.84,0,1,1,0,1,0,0,1,0
3/14/1997,74,167.23,10,285,1.44,0,62.91,1.03,1,0,0,0,0,1,1,0,0
3/15/1997,76,244.98,15,258,1.22,1,237.93,0.87,0,0,0,1,1,0,1,0,0
3/16/1997,74,407.74,0,74,0.96,0,321.62,1.1,0,0,0,1,0,0,0,0,0
3/17/1997,68,381.87,5,375,0.83,1,254.82,1.05,0,0,0,1,1,0,0,0,0
3/18/1997,74,140.24,15,182,0.59,0,351.56,0.96,1,0,0,0,1,0,0,0,0
3/19/1997,79,84.03,20,230,1.32,1,402.69,0.84,0,0,0,0,0,0,0,0,1
3/20/1997,79,353.35,0,134,0.67,0,437.4,1.11,1,0,1,0,0,1,0,1,0
3/21/1997,82,136.25,10,295,1.02,1,284.34,0.83,0,1,1,0,1,0,0,0,0
3/22/1997,84,462.11,10,88,1.14,1,145.55,0.91,0,0,0,1,0,1,0,0,1
3/23/1997,85,73.33,0,300,1.24,1,259.73,0.9,1,0,0,0,0,1,0,1,0
3/24/1997,85,165.97,0,490,0.58,1,199.97,1.03,0,0,0,0,0,1,0,0,1
3/25/1997,85,36.85,20,163,0.51,0,120.7,1.01,1,0,0,1,1,0,1,0,0
3/26/1997,83,354.62,20,316,1.21,1,269.24,0.91,0,1,0,1,1,0,1,0,0
3/27/1997,86,446.72,5,151,0.95,0,21.1,0.97,0,0,1,0,0,0,0,1,0
3/28/1997,84,321.58,5,276,0.68,1,306.73,0.97,0,1,1,0,0,1,0,0,0
3/29/1997,83,469.5,10,303,1.48,0,412.59,1.03,0,1,0,1,0,0,0,1,0
3/30/1997,81,72.97,0,276,1.29,1,499.72,1.16,1,0,0,0,1,0,0,0,1
3/31/1997,76,52.99,10,298,1.08,0,461.62,0.86,0,1,1,0,1,0,1,0,0
4/1/1997,66,420.82,20,330,1.2,0,54.01,1.02,0,0,0,1,0,0,0,0,0
4/2/1997,71,429.2,15,207,0.66,0,89.59,0.81,0,1,0,0,0,0,0,0,1
4/3/1997,62,417.21,20,51,1.46,0,77.94,1.08,0,1,0,1,0,1,0,0,1
4/4/1997,66,401.49,15,261,1.5,1,283.59,1.06,1,0,0,0,1,0,1,0,0
4/5/1997,67,187.49,0,85,1.15,0,32.51,1.08,0,1,1,0,0,1,0,0,0
4/6/1997,76,116.56,0,86,1.17,1,469.13,0.99,0,0,0,0,0,1,0,1,0
4/7/1997,67,465.11,0,307,1.2,0,40.3,0.87,1,0,0,0,1,0,1,0,0
4/8/1997,76,160.43,5,289,1.17,1,201.71,0.98,1,0,0,1,1,0,1,0,0
4/9/1997,77,205.22,5,413,0.94,1,448.05,0.81,0,0,0,0,0,1,0,0,0
4/10/1997,82,352.78,15,480,1.04,1,474.71,0.95,0,0,1,0,0,0,0,1,0
4/11/1997,80,153.74,10,140,0.78,0,237.99,1.14,0,0,0,1,1,0,1,0,0
4/12/1997,83,411.37,10,145,0.95,1,249.33,0.94,0,0,0,1,0,1,0,1,0
4/13/1997,84,44.32,15,236,0.94,0,321.73,1.04,0,0,0,1,0,0,1,0,0
4/14/1997,84,397.68,5,309,0.79,1,209.74,0.9,1,0,0,1,0,1,0,1,0
4/15/1997,85,304.91,20,268,1.29,0,169.08,0.85,0,1,0,1,1,0,0,1,0
4/16/1997,83,290.77,15,399,0.91,0,372.32,1.01,0,0,0,1,0,0,0,0,1
4/17/1997,85,234.6,10,244,1.05,0,301.73,0.81,0,0,0,1,0,0,1,0,0
4/18/1997,80,145.75,15,95,0.66,0,246.02,1.16,0,0,1,0,0,0,0,0,1
4/19/1997,77,237.39,15,414,0.97,1,59.39,1.11,0,1,1,0,1,0,1,0,0
4/20/1997,72,230.51,0,407,1.26,1,43.74,1.2,0,0,0,1,1,0,0,0,1
4/21/1997,74,296.04,5,469,0.94,0,260.3,1.2,0,1,0,0,0,1,0,0,1
4/22/1997,67,147.97,0,114,1.06,0,313.52,1.09,1,0,0,1,0,1,0,0,1
4/23/1997,66,48.02,5,276,1.2,0,332.18,1.11,1,0,0,1,1,0,0,0,1
4/24/1997,68,81.09,15,105,0.89,0,448.5,1.01,1,0,0,1,0,1,0,0,1
4/25/1997,72,352.6,5,253,0.85,0,409.95,0.89,0,0,0,0,0,0,1,0,0
4/26/1997,75,21.02,10,84,0.59,1,78.97,1.12,0,1,1,0,1,0,0,0,0
4/27/1997,79,429.66,0,168,1.08,1,399.27,0.91,0,0,0,0,1,0,0,0,1
4/28/1997,80,350.25,15,287,1.21,1,341.39,1.06,0,0,0,0,0,1,0,0,0
4/29/1997,83,386.36,10,150,1.08,1,415.73,1.09,0,0,0,0,1,0,0,0,1
4/30/1997,81,419.63,5,328,0.78,1,423.24,1.03,0,0,0,0,0,0,1,0,0
5/1/1997,80,70.13,5,274,0.76,1,179.31,1.07,0,0,0,1,1,0,0,1,0
5/2/1997,78,413,10,383,0.66,0,139,0.92,0,0,1,0,0,0,0,0,0
5/3/1997,80,257.27,5,93,0.55,0,280.79,1.1,0,0,0,0,1,0,0,0,0
5/4/1997,75,443.91,0,50,0.93,1,156.32,1.18,0,1,1,0,1,0,1,0,0
5/5/1997,74,444.43,20,268,0.66,0,181.35,0.99,1,0,0,1,1,0,0,1,0
5/6/1997,72,21.85,5,265,1.19,1,43.89,0.85,0,0,0,1,0,1,0,0,0
5/7/1997,70,197.6,15,499,1.46,0,495.77,1.05,1,0,1,0,0,1,1,0,0
5/8/1997,73,267.94,5,189,0.57,0,161.56,0.94,0,1,0,1,0,0,0,0,1
5/9/1997,75,342.4,15,446,1.39,0,392.24,0.97,0,1,1,0,0,1,0,0,0
5/10/1997,78,150.23,5,460,1.16,1,496.65,0.86,0,0,0,0,1,0,0,1,0
5/11/1997,82,133.55,5,325,1.36,0,484.87,1.05,0,1,0,1,0,1,0,0,0
5/12/1997,85,196.82,15,416,0.65,0,320.6,1.11,1,0,0,1,0,1,0,0,1
5/13/1997,85,255.46,0,161,1.41,1,273.94,1.11,0,0,1,0,0,0,0,1,0
5/14/1997,87,476.06,20,292,1.46,0,161.55,1.2,0,0,0,1,1,0,0,0,1
5/15/1997,88,383.43,20,403,1.41,1,432.14,0.88,0,0,0,0,0,0,0,1,0
5/16/1997,84,220.37,0,55,1.29,0,175.62,1.17,1,0,0,1,0,1,0,0,1
5/17/1997,80,36.64,5,441,0.59,1,62.29,1.09,0,0,0,1,1,0,0,1,0
5/18/1997,78,92.58,20,326,0.72,1,154.11,1.08,0,0,0,1,0,0,0,1,0
5/19/1997,79,233.4,0,152,1.41,0,164.4,1.07,1,0,1,0,0,0,0,0,1
5/20/1997,71,408.77,0,454,0.73,1,362.06,1.02,0,0,0,0,1,0,0,0,0
5/21/1997,77,196.54,20,350,0.85,0,93.08,0.95,0,0,0,0,0,0,1,0,0
5/22/1997,81,273.86,15,119,0.55,1,165.26,1.18,1,0,0,1,0,0,0,0,0
5/23/1997,78,446.98,10,410,1.13,0,47.53,0.86,0,1,0,1,0,0,1,0,0
5/24/1997,72,457.76,15,477,1.06,0,425.72,0.87,1,0,1,0,0,1,0,0,1
5/25/1997,77,115.73,5,236,1.46,1,365.14,0.81,0,0,0,0,0,0,0,0,0
5/26/1997,74,31.36,15,207,1.39,0,224.37,1.1,0,0,0,1,0,1,0,0,1
5/27/1997,77,159.65,10,187,1.01,1,220.71,1.16,0,0,0,0,0,0,1,0,0
5/28/1997,79,350.94,10,380,1.11,0,91.52,0.87,1,0,0,1,0,0,0,1,0
5/29/1997,81,476.04,0,306,0.91,1,198.39,0.81,0,0,0,1,0,0,0,0,1
5/30/1997,78,47.75,5,443,0.63,1,454.34,0.9,0,0,1,0,0,0,0,0,0
5/31/1997,82,23.96,0,458,1.37,0,77.94,1.15,0,0,0,0,1,0,0,0,1
6/1/1997,79,443.23,15,132,1.05,1,384.86,0.81,1,0,0,0,0,1,0,0,1
6/2/1997,77,376.59,15,123,0.93,1,33.12,0.84,0,0,0,1,1,0,0,0,1
6/3/1997,81,496.2,20,416,0.57,0,162.72,0.81,0,1,0,1,1,0,1,0,0
6/4/1997,85,204.43,0,63,1.17,1,425,1.18,0,0,1,0,1,0,0,0,0
6/5/1997,84,213.86,0,180,0.9,0,228.04,0.85,1,0,0,1,1,0,0,0,0
6/6/1997,84,94.43,0,245,0.75,0,354.32,1.16,0,1,0,0,0,0,1,0,0
6/7/1997,85,66.77,0,217,1.38,0,60.74,0.99,0,1,1,0,0,0,0,0,0
6/8/1997,83,293.57,10,466,0.68,0,344.88,0.96,0,0,0,0,1,0,0,0,0
6/9/1997,77,188.5,20,261,1.02,1,411.32,0.97,0,0,1,0,1,0,0,0,1
6/10/1997,76,49.36,5,256,1.3,1,404.57,0.97,1,0,0,0,0,1,1,0,0
6/11/1997,70,444.62,5,184,1.35,1,225.05,0.94,0,0,0,1,1,0,1,0,0
6/12/1997,61,107.19,5,157,1.32,1,453.03,1.12,0,0,0,0,0,0,1,0,0
6/13/1997,62,376.81,10,308,1.4,1,291.74,1,0,0,0,0,0,1,0,1,0
6/14/1997,72,148.29,20,168,0.64,0,410.76,1.2,0,0,1,0,1,0,0,0,0
6/15/1997,74,408.32,20,268,1.44,1,114.6,1.01,1,0,0,0,0,1,0,0,1
6/16/1997,74,68.01,10,214,0.51,0,113.02,1.13,0,0,0,1,1,0,0,0,1
6/17/1997,74,380.48,0,398,0.76,0,379.64,1.1,1,0,1,0,0,1,0,0,1
6/18/1997,77,58.08,15,203,0.58,1,326.85,0.96,0,0,1,0,0,1,0,0,1
6/19/1997,75,228.99,0,396,1.45,0,341.39,1.12,0,0,0,0,0,0,0,0,0
6/20/1997,77,369.66,5,74,0.92,1,125.92,0.86,0,0,1,0,0,1,1,0,0
6/21/1997,84,94.88,0,473,0.82,0,205.82,0.88,0,0,0,1,1,0,1,0,0
6/22/1997,89,149.98,10,92,0.67,1,136.61,1.05,0,0,0,0,0,1,0,1,0
6/23/1997,84,433.74,5,164,0.66,1,43.38,1.08,0,0,0,1,1,0,0,0,1
6/24/1997,82,443.71,15,399,1.11,1,109.93,1.06,0,0,0,0,1,0,0,1,0
6/25/1997,75,32.02,5,93,0.55,1,497.63,1,0,1,0,0,0,0,0,0,0
6/26/1997,71,92.36,0,261,1.09,0,124.68,0.86,0,0,1,0,0,1,0,1,0
6/27/1997,63,67.56,20,334,1.27,0,88.05,0.95,0,1,1,0,0,0,0,0,0
6/28/1997,75,98.05,20,287,1.1,0,351.47,1.04,0,0,1,0,1,0,0,1,0
6/29/1997,76,485.39,20,275,1.33,1,305.05,0.89,1,0,0,0,0,1,0,0,0
6/30/1997,81,280.31,5,267,0.77,0,375.55,1.06,0,1,1,0,0,1,0,0,0
7/1/1997,80,239.38,20,396,0.58,0,330.3,0.89,1,0,0,1,1,0,0,1,0
7/2/1997,81,492.39,10,295,1.22,0,119.27,0.84,0,0,1,0,0,0,1,0,0
7/3/1997,79,282.91,15,362,1.33,1,255.44,0.93,1,0,0,1,0,0,0,1,0
7/4/1997,82,333.95,20,413,1,0,96.55,0.91,1,0,1,0,0,1,1,0,0
7/5/1997,81,173.06,10,186,1.32,0,134.23,1.12,1,0,0,0,0,0,1,0,0
7/6/1997,80,197.24,10,327,0.96,1,493.59,0.99,1,0,1,0,0,1,0,1,0
7/7/1997,78,301.26,5,119,0.7,0,367.05,0.83,0,0,0,1,0,0,0,0,1
7/8/1997,75,44.2,5,55,0.97,1,393.6,1.13,0,1,0,1,1,0,1,0,0
7/9/1997,74,135.38,15,204,0.72,0,24.73,0.91,0,0,1,0,1,0,0,0,1
7/10/1997,78,106.44,15,305,0.97,0,197.25,1.03,0,0,0,1,1,0,0,0,0
7/11/1997,82,17.79,0,171,0.65,0,282.07,1.02,0,0,0,0,0,1,0,0,0
7/12/1997,85,273.08,15,167,0.69,1,83.34,1.19,1,0,1,0,0,1,0,0,0
7/13/1997,84,284.92,5,357,1.38,1,425.79,0.9,0,0,0,1,1,0,1,0,0
7/14/1997,81,198.13,10,375,0.62,0,78.4,0.86,0,1,1,0,1,0,1,0,0
7/15/1997,81,141.68,0,482,0.72,1,321.89,0.9,0,0,1,0,0,0,0,0,0
7/16/1997,81,329.51,15,258,1.5,1,281.06,1.03,0,0,1,0,1,0,0,1,0
7/17/1997,79,75.98,10,398,1.08,1,426.16,0.89,1,0,1,0,1,0,0,1,0
7/18/1997,83,264.12,5,456,1.09,1,162.79,0.94,0,0,1,0,1,0,0,0,0
7/19/1997,87,386.36,20,130,1.34,1,149.2,1.06,0,1,0,0,0,1,0,0,1
7/20/1997,86,90.51,0,454,1.02,0,424.74,0.85,0,1,1,0,0,1,0,0,0
7/21/1997,82,379.1,10,379,0.72,0,118.49,1.18,0,1,0,0,1,0,1,0,0
7/22/1997,79,382.79,5,156,0.92,1,375.56,1.01,0,1,1,0,0,0,0,0,1
7/23/1997,79,39.36,5,185,1.26,1,103.66,0.99,0,0,0,1,0,0,0,1,0
7/24/1997,75,19.2,0,487,1.37,1,439.09,0.95,1,0,1,0,1,0,0,1,0
7/25/1997,66,487.23,0,63,0.77,1,421.14,0.9,0,1,1,0,0,1,0,0,1
7/26/1997,76,104.76,15,80,0.76,0,395.86,0.99,0,0,0,1,1,0,0,0,1
7/27/1997,80,412.85,15,228,0.83,0,250.82,0.99,0,1,0,0,0,0,1,0,0
7/28/1997,77,285.31,0,495,1.1,0,26.58,0.82,1,0,0,0,0,1,0,0,0
7/29/1997,75,139.59,0,451,0.78,1,74.91,1.14,0,0,0,0,0,1,0,0,1
7/30/1997,81,73.69,10,480,1.39,0,233.74,1.13,0,0,0,0,0,1,0,0,1
7/31/1997,80,253.37,15,143,1.48,1,31.39,0.98,0,0,0,1,1,0,0,1,0
8/1/1997,79,209.6,5,131,1.18,0,41.1,0.93,0,0,0,0,1,0,0,1,0
8/2/1997,80,352.45,15,229,1.47,1,71.5,1,0,1,0,0,1,0,0,0,0
8/3/1997,81,453.04,15,298,0.79,0,137.81,0.89,0,0,0,0,0,0,0,0,1
8/4/1997,77,404.57,0,290,1.32,1,377.17,0.8,0,0,0,0,0,1,0,1,0
8/5/1997,78,144.48,0,214,1.18,0,33.51,0.94,0,0,0,0,0,1,0,0,0
8/6/1997,73,440.68,15,335,0.76,0,491.98,0.81,0,0,1,0,0,0,0,1,0
8/7/1997,71,418.36,20,79,0.82,1,144.18,0.82,0,0,1,0,0,0,0,1,0
8/8/1997,76,465.28,20,405,0.99,0,166.9,0.81,0,1,0,0,0,1,0,1,0
8/9/1997,78,234.74,15,353,1.29,1,131.46,1.15,0,0,0,1,0,1,1,0,0
8/10/1997,78,386.6,20,216,1.37,0,305.17,0.86,0,0,0,1,0,0,1,0,0
8/11/1997,82,299.91,15,332,1.13,0,19.52,0.9,0,1,1,0,1,0,0,0,1
8/12/1997,83,162.15,0,449,1.22,1,55.85,1,0,0,0,1,1,0,0,0,0
8/13/1997,78,497.27,0,465,0.76,1,58.4,1.01,0,0,1,0,1,0,0,0,0
